Student_ID,Math_Score,Science_Score,English_Score,Attendance_Percentage,Study_Hours
1,78.0,80.0,75.0,85.0,2
2,85.0,88.0,82.0,90.0,4
3,92.0,90.0,85.0,92.0,5
4,67.0,65.0,60.0,70.0,1
5,88.0,85.0,78.0,88.0,3
6,90.0,92.0,88.0,95.0,6
7,56.0,58.0,55.0,65.0,2
8,73.0,70.0,69.0,80.0,3
9,81.0,79.0,77.0,86.0,4
10,95.0,96.0,90.0,94.0,7
11,100.0,98.0,92.0,96.0,8
12,45.0,50.0,48.0,60.0,1
13,89.0,87.0,80.0,89.0,5
14,76.0,74.0,,82.0,3
15,84.0,,83.0,87.0,4
16,91.0,93.0,89.0,93.0,6
17,60.0,62.0,61.0,,2
18,72.0,71.0,70.0,78.0,3
19,,68.0,66.0,84.0,4
20,120.0,200.0,95.0,97.0,30
