,ageEstimate,companyFollowerCount,companyHasLogo,companyName,companyStaffCount,companyUrl,companyUrn,connectionsCount,country,endDate,followable,followersCount,genderEstimate,hasPicture,isPremium,mbrLocation,mbrLocationCode,mbrTitle,memberUrn,posLocation,posLocationCode,posTitle,positionId,startDate,avgMemberPosDuration,avgCompanyPosDuration,,,,,,,,,,,,,,
0,41,198859,5a92c12e-0a20-482b-95ec-e705a6294730-2.png,Commonwealth Bank,32905,http://www.commbank.com.au/,urn:li:company:2848,500,au,,1,506,male,,0,"Sydney Area, Australia","urn:li:fs_region:(au,4910)",Portfolio Executive at Commonwealth Bank,urn:li:member:10013136,,,Portfolio Executive,240345,7/1/2014,760.5,989.9361,,,,,,,,,,,,,,
1,41,198859,5a92c12e-0a20-482b-95ec-e705a6294730-2.png,Commonwealth Bank,32905,http://www.commbank.com.au/,urn:li:company:2848,500,au,6/1/2014,1,506,male,,0,"Sydney Area, Australia","urn:li:fs_region:(au,4910)",Portfolio Executive at Commonwealth Bank,urn:li:member:10013136,"Sydney, Australia","urn:li:fs_region:(au,4910)",Solution Delivery Executive,240346,11/1/2013,760.5,989.9361,,,,,,,,,,,,,,
2,41,10047,b1c3fd9a-8f21-48f8-8321-d773b1ff3cb7-2.png,CommSec,619,http://www.commsec.com.au,urn:li:company:2851,500,au,12/1/2012,1,506,male,,0,"Sydney Area, Australia","urn:li:fs_region:(au,4910)",Portfolio Executive at Commonwealth Bank,urn:li:member:10013136,,,Project Manager,240348,8/1/2008,760.5,747.2308,,,,,,,,,,,,,,
3,41,198859,5a92c12e-0a20-482b-95ec-e705a6294730-2.png,Commonwealth Bank,32905,http://www.commbank.com.au/,urn:li:company:2848,500,au,7/1/2008,1,506,male,,0,"Sydney Area, Australia","urn:li:fs_region:(au,4910)",Portfolio Executive at Commonwealth Bank,urn:li:member:10013136,,,Project Manager,240350,2/1/2007,760.5,989.9361,,,,,,,,,,,,,,
4,30,300723,0f982557-a907-409e-af20-1feb0e0813cd-2.png,PayPal,22522,http://www.paypal.com,urn:li:company:1482,500,au,,1,951,female,RTMZ0-46bTjK4V_MGFDG6i5g0yZmFp5oS0S9liWvpWg.jpg,0,"Sydney Area, Australia","urn:li:fs_region:(au,4910)","Senior Marketing Manager, PayPal",urn:li:member:100186032,,,Senior Marketing Manager,229893,1/1/2017,395.2857,683.3496,,,,,,,,,,,,,,
5,30,71403,b976d16b-b41f-401c-952c-d5bd2aaac7b0-2.png,Optus,10913,http://www.optus.com.au,urn:li:company:2711,500,au,12/1/2016,1,951,female,RTMZ0-46bTjK4V_MGFDG6i5g0yZmFp5oS0S9liWvpWg.jpg,0,"Sydney Area, Australia","urn:li:fs_region:(au,4910)","Senior Marketing Manager, PayPal",urn:li:member:100186032,"Sydney, Australia","urn:li:fs_region:(au,4910)","Digital and Social Engagement Leader, Optus Business",229894,1/1/2016,395.2857,977.6553,,,,,,,,,,,,,,
6,30,4385293,e8d29e8b-1601-462c-b780-0f8c19f97157-2.png,IBM,568533,http://www.ibm.com,urn:li:company:1009,500,au,12/1/2015,1,951,female,RTMZ0-46bTjK4V_MGFDG6i5g0yZmFp5oS0S9liWvpWg.jpg,0,"Sydney Area, Australia","urn:li:fs_region:(au,4910)","Senior Marketing Manager, PayPal",urn:li:member:100186032,Greater New York City Area,"urn:li:fs_region:(us,70)",Social Brand Marketing,229895,11/1/2014,395.2857,1188.7339,,,,,,,,,,,,,,
7,30,4385293,e8d29e8b-1601-462c-b780-0f8c19f97157-2.png,IBM,568533,http://www.ibm.com,urn:li:company:1009,500,au,10/1/2014,1,951,female,RTMZ0-46bTjK4V_MGFDG6i5g0yZmFp5oS0S9liWvpWg.jpg,0,"Sydney Area, Australia","urn:li:fs_region:(au,4910)","Senior Marketing Manager, PayPal",urn:li:member:100186032,Australia,"urn:li:fs_region:(au,0)",Brand Strategist,229896,6/1/2013,395.2857,1188.7339,,,,,,,,,,,,,,
8,30,4385293,e8d29e8b-1601-462c-b780-0f8c19f97157-2.png,IBM,568533,http://www.ibm.com,urn:li:company:1009,500,au,6/1/2013,1,951,female,RTMZ0-46bTjK4V_MGFDG6i5g0yZmFp5oS0S9liWvpWg.jpg,0,"Sydney Area, Australia","urn:li:fs_region:(au,4910)","Senior Marketing Manager, PayPal",urn:li:member:100186032,Australia,"urn:li:fs_region:(au,0)",Brand Expression Lead,229897,9/1/2012,395.2857,1188.7339,,,,,,,,,,,,,,
9,30,4385293,e8d29e8b-1601-462c-b780-0f8c19f97157-2.png,IBM,568533,http://www.ibm.com,urn:li:company:1009,500,au,9/1/2012,1,951,female,RTMZ0-46bTjK4V_MGFDG6i5g0yZmFp5oS0S9liWvpWg.jpg,0,"Sydney Area, Australia","urn:li:fs_region:(au,4910)","Senior Marketing Manager, PayPal",urn:li:member:100186032,"St Leonards, Australia",,Brand System Graduate,229898,9/1/2011,395.2857,1188.7339,,,,,,,,,,,,,,
